,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1682,LCDZ,UNKNOWN,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2004-09-03,002036.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,联创电子,CS
1683,DYSX,MainBoard,0000-00-00,XSHE,C20,木材加工及木、竹、藤、棕、草制品业,1999-06-30,000910.XSHE,100.0,Materials,原材料,Normal,Active,大亚圣象,CS
1684,HCSY,MainBoard,0000-00-00,XSHG,D46,水的生产和供应业,2004-06-01,600461.XSHG,100.0,Utilities,公用事业,Normal,Active,洪城水业,CS
1685,HXDZ,MainBoard,0000-00-00,XSHG,C39,计算机、通信和其他电子设备制造业,2012-02-20,601231.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,环旭电子,CS
1686,ZYJT,MainBoard,0000-00-00,XSHG,C32,有色金属冶炼和压延加工业,2004-08-30,600961.XSHG,100.0,Materials,原材料,Normal,Active,株冶集团,CS
1687,SMPS,MainBoard,0000-00-00,XSHE,C17,纺织业,1997-05-28,000779.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,三毛派神,CS
1688,GFGF,UNKNOWN,0000-00-00,XSHE,C27,医药制造业,2006-12-29,002102.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,冠福股份,CS
1689,RJMF,GEM,0000-00-00,XSHE,C34,通用设备制造业,2015-06-12,300470.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,日机密封,CS
1690,JFJS,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2010-10-13,300128.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,锦富技术,CS
1691,MWJT,UNKNOWN,0000-00-00,XSHE,I65,软件和信息技术服务业,2007-03-28,002123.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,梦网集团,CS
1692,CHJ,UNKNOWN,0000-00-00,XSHE,C41,其他制造业,2010-01-28,002345.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,潮宏基,CS
1693,WHZS,MainBoard,0000-00-00,XSHE,F52,零售业,1997-07-11,000785.XSHE,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,武汉中商,CS
1694,NSLY,MainBoard,0000-00-00,XSHG,C32,有色金属冶炼和压延加工业,1999-12-23,600219.XSHG,100.0,Materials,原材料,Normal,Active,南山铝业,CS
1695,BHGF,MainBoard,0000-00-00,XSHG,C26,化学原料及化学制品制造业,2010-02-23,601678.XSHG,100.0,Materials,原材料,Normal,Active,滨化股份,CS
1696,NFGF,MainBoard,0000-00-00,XSHG,F51,批发业,2001-03-06,600250.XSHG,100.0,ConsumerDiscretionary,非必需消费品,Normal,Active,南纺股份,CS
1697,KLY,MainBoard,0000-00-00,XSHG,C38,电气机械及器材制造业,2003-09-18,600478.XSHG,100.0,Materials,原材料,Normal,Active,科力远,CS
1698,SSYY,MainBoard,2010-02-12,XSHG,C27,医药制造业,1992-03-27,600607.XSHG,100.0,HealthCare,医疗保健,Other,Delisted,上实医药,CS
1699,JYGF,MainBoard,0000-00-00,XSHG,C27,医药制造业,2017-07-19,603707.XSHG,100.0,HealthCare,医疗保健,Normal,Active,健友股份,CS
1700,SFGF,MainBoard,0000-00-00,XSHG,C26,化学原料及化学制品制造业,2017-06-28,603938.XSHG,100.0,Materials,原材料,Normal,Active,三孚股份,CS
1701,ZFSY,MainBoard,0000-00-00,XSHG,C32,有色金属冶炼和压延加工业,2002-06-26,600595.XSHG,100.0,Materials,原材料,Normal,Active,中孚实业,CS
1702,ZYMC,UNKNOWN,0000-00-00,XSHE,C14,食品制造业,2017-10-31,002910.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,庄园牧场,CS
1703,TMJT,MainBoard,0000-00-00,XSHE,J68,保险业,1996-11-12,000627.XSHE,100.0,Financials,金融,Normal,Active,天茂集团,CS
1704,SXJH,MainBoard,0000-00-00,XSHG,C25,石油加工、炼焦及核燃料加工业,1996-08-08,600740.XSHG,100.0,Energy,能源,Normal,Active,山西焦化,CS
1705,HZYJ,GEM,0000-00-00,XSHE,C35,专用设备制造业,2016-08-05,300527.XSHE,100.0,Industrials,工业,Normal,Active,华舟应急,CS
1706,WGGF,UNKNOWN,0000-00-00,XSHE,C38,电气机械及器材制造业,2016-06-22,002801.XSHE,100.0,Industrials,工业,Normal,Active,微光股份,CS
1707,STFZ,MainBoard,0000-00-00,XSHG,C30,非金属矿物制品业,2017-07-18,603612.XSHG,100.0,Materials,原材料,Normal,Active,索通发展,CS
1708,HCQJ,MainBoard,0000-00-00,XSHG,C34,通用设备制造业,2010-10-11,601177.XSHG,100.0,Industrials,工业,Normal,Active,杭齿前进,CS
