listed_date,order_book_id
2016-01-08,002355.XSHE
2016-01-08,000667.XSHE
2016-01-08,000933.XSHE
2016-01-08,002586.XSHE
2016-01-08,002452.XSHE
2016-01-08,601005.XSHG
2016-01-08,600874.XSHG
2016-01-08,600448.XSHG
2016-01-08,600546.XSHG
2016-01-08,000761.XSHE
2016-01-08,600123.XSHG
2016-01-08,002643.XSHE
2016-01-08,002714.XSHE
2016-01-08,000552.XSHE
2016-01-08,300498.XSHE
2016-01-08,601225.XSHG
2016-01-08,600792.XSHG
2016-01-08,600508.XSHG
2016-01-08,002119.XSHE
2016-01-08,000732.XSHE
2016-01-08,600782.XSHG
2016-01-08,000615.XSHE
2016-01-08,600791.XSHG
2016-01-08,000932.XSHE
2016-01-08,600395.XSHG
2016-01-08,601069.XSHG
2016-01-08,300459.XSHE
2016-01-08,600019.XSHG
2016-01-08,002009.XSHE
2016-01-08,600355.XSHG
2016-01-08,002768.XSHE
2016-01-08,002617.XSHE
2016-01-08,600022.XSHG
2016-01-08,601003.XSHG
2016-01-08,000025.XSHE
2016-01-08,600005.XSHG
2016-01-08,000709.XSHE
2016-01-08,600995.XSHG
2016-01-08,000937.XSHE
2016-01-08,002702.XSHE
2016-01-08,002601.XSHE
2016-01-08,002622.XSHE
2016-01-08,000807.XSHE
2016-01-08,601101.XSHG
2016-01-08,600188.XSHG
2016-01-08,600808.XSHG
2016-01-08,600671.XSHG
2016-01-08,002514.XSHE
2016-01-08,601001.XSHG
2016-01-08,000838.XSHE
2016-01-08,601600.XSHG
2016-01-08,002128.XSHE
2016-01-08,300198.XSHE
2016-01-08,002629.XSHE
2016-01-08,600265.XSHG
2016-01-08,600697.XSHG
2016-01-08,002458.XSHE
2016-01-08,600485.XSHG
2016-01-08,000825.XSHE
2016-01-08,300466.XSHE
2016-01-08,002051.XSHE
2016-01-08,002423.XSHE
2016-01-08,002237.XSHE
2016-01-08,002145.XSHE
2016-01-08,600971.XSHG
2016-01-08,601177.XSHG
2016-01-08,000567.XSHE
2016-01-08,600348.XSHG
2016-01-08,600966.XSHG
2016-01-08,000780.XSHE
2016-01-08,601699.XSHG
2016-01-08,600291.XSHG
2016-01-08,600722.XSHG
2016-01-08,000906.XSHE
2016-01-08,000959.XSHE
2016-01-08,600569.XSHG
2016-01-08,600988.XSHG
2016-01-11,600528.XSHG
2016-01-11,600546.XSHG
2016-01-11,002015.XSHE
2016-01-11,002371.XSHE
2016-01-11,300493.XSHE
2016-01-11,300459.XSHE
2016-01-11,002622.XSHE
2016-01-11,002514.XSHE
2016-01-11,300464.XSHE
2016-01-11,300466.XSHE
2016-01-11,000735.XSHE
2016-01-11,000921.XSHE
2016-01-11,002780.XSHE
2016-01-11,002121.XSHE
2016-01-12,002027.XSHE
2016-01-12,002235.XSHE
2016-01-12,300329.XSHE
2016-01-12,002760.XSHE
2016-01-12,002407.XSHE
2016-01-12,601958.XSHG
2016-01-12,002210.XSHE
